cost_center,division,department
Sales,Alliances,Business Development
G&A,G&A,Business Operations
G&A,G&A,CEO
Sales,Sales,Channel
Sales,Sales,Commercial Sales
Marketing,Marketing,Corporate Marketing
Cost of Sales,Sales,Customer Solutions
Sales,Sales,Customer Success
Cost of Sales,Engineering,Customer Support
Marketing,Marketing,Demand Generation
R&D,Engineering,Development
R&D,Meltano,Meltano
Marketing,Marketing,Digital Marketing
Sales,Sales,Enterprise Sales
Marketing,Marketing,Field Marketing
Sales,Sales,Field Operations
G&A,G&A,Finance
R&D,Engineering,Infrastructure
Marketing,Marketing,Marketing Ops
R&D,Meltano,Meltano
Marketing,Marketing,Outreach
G&A,G&A,People Ops
R&D,Product,Product Management
R&D,Product,Product Strategy 
Marketing,Marketing,Product Marketing
R&D,Engineering,Quality
G&A,G&A,Recruiting
R&D,Engineering,Security
R&D,Engineering,UX
G&A,G&A,People
G&A,G&A,Accounting
Sales,Sales,Business Development
Marketing,Marketing,Community Relations
G&A,G&A,Legal
Marketing,Marketing,Brand and Digital Design
