ACCOUNT_ID,COMMUNICATION_PROFILE_ID,CRM_ID,DEFAULT_PAYMENT_METHOD_ID,INVOICE_TEMPLATE_ID,PARENT_ID,SOLD_TO_CONTACT_ID,BILL_TO_CONTACT_ID,ACCOUNT_NUMBER,ACCOUNT_NAME,STATUS,SFDC_ENTITY,AUTO_PAY,CURRENCY,SALES_REP_NAME
2c92a00c6f31ee5a016f47f78d236419,2c92a0ff55a0e4910155a15df15b5923,00161000004zoBWAAY,2c92a0ff528dec7e01528e784bbe278b,2c92a0ff528dec7e01528e784fa52857,,2c92a00c6f31ee5a016f47f78d36641c,2c92a00c6f31ee5a016f47f78d2e641a,A00021717,T-Mobile,Active,US,FALSE,USD,Nico Ochoa
2c92a0ff5e50a5f6015e76d832f80264,2c92a0ff528dec7e01528e784c2c27ba,0016100001B7Ft6AAF,2c92a0fd5e50a5fc015e76d81de20708,2c92a0ff528dec7e01528e784fa52857,,2c92a0ff5e50a5f6015e76d833010265,2c92a0ff5e50a5f6015e76d833010265,A00004531,Quantum Cyber Defence,Active,US,TRUE,USD,
2c92a0fe5654120701567a1e42f22ed3,2c92a0ff55a0e4910155a15df15b5923,00161000004bZPDAA2,2c92a0ff528dec7e01528e784bbe278b,2c92a0ff528dec7e01528e784fa52857,,2c92a0fc588608ac01588dbf0cbd0da9,2c92a0fd5654017301567b7d44b10748,A00001741,NVIDIA,Active,US,FALSE,USD,Haydn Mackay
